Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
Doug Jones,D,39.6,Alabama,2020,True,False,"30,640,635","32,297,767"
Tommy Tuberville,R,60.2,Alabama,2020,False,True,"8,537,218","8,363,739"
Michael Parrish,I,0.0,Alabama,2020,False,False,"5,116","2,639"
Jerry Carl,R,64.9,Alabama,1,False,True,"1,971,321","1,859,349"
James Averhart,D,35.0,Alabama,1,False,False,"80,095","78,973"
Barry Moore,R,65.3,Alabama,2,False,True,"650,807","669,368"
Phyllis Harvey-Hall,D,34.6,Alabama,2,False,False,"56,050","55,988"
Mike D,R,67.5,Alabama,3,True,True,"1,193,111","1,218,564"
Adia Winfrey,D,32.4,Alabama,3,False,False,"50,273","40,971"
Robert B,R,82.5,Alabama,4,True,True,"1,255,076","1,323,812"
Mo Brooks,R,95.8,Alabama,5,True,True,"655,365","210,045"
Gary Palmer,R,97.1,Alabama,6,True,True,"907,219","909,082"
Terri Sewell,D,97.2,Alabama,7,True,True,"2,168,165","1,495,957"
Dan Sullivan,R,53.9,Alaska,2020,True,True,"10,472,845","9,999,482"
Al Gross,I,41.2,Alaska,2020,False,False,"19,393,431","19,366,600"
Don Young,R,54.4,Alaska,1,True,True,"1,922,901","1,790,448"
Alyse Galvin,I,45.3,Alaska,1,False,False,"5,178,452","5,088,103"
Martha McSally,R,48.8,Arizona,2020,True,False,"71,385,147","72,193,637"
Mark Kelly,D,51.2,Arizona,2020,False,True,"99,846,963","98,444,440"
Tom O'Halleran,D,51.6,Arizona,1,True,True,"3,381,353","3,324,138"
Tiffany Shedd,R,48.4,Arizona,1,False,False,"1,675,618","1,615,704"
Ann Kirkpatrick,D,55.1,Arizona,2,True,True,"1,849,862","1,384,765"
Brandon Martin,R,44.9,Arizona,2,False,False,"374,821","381,067"
Raul M,D,64.6,Arizona,3,True,True,"843,560","655,507"
Daniel Wood,R,35.4,Arizona,3,False,False,"41,422","41,962"
Paul Gosar,R,69.8,Arizona,4,True,True,"622,151","729,892"
Delina DiSanto,D,30.2,Arizona,4,False,False,"77,168","79,758"
Andy Biggs,R,58.9,Arizona,5,True,True,"1,602,181","1,236,380"
Joan Greene,D,41.1,Arizona,5,False,False,"356,069","209,789"
David Schweikert,R,52.2,Arizona,6,True,True,"2,265,329","2,249,979"
Hiral Tipirneni,D,47.8,Arizona,6,False,False,"6,301,073","6,366,702"
Tom Lewellen,I,0.0,Arizona,6,False,False,"11,685","11,000"
Ruben Gallego,D,76.7,Arizona,7,True,True,"1,811,754","1,653,961"
Josh Barnett,R,23.3,Arizona,7,False,False,"28,093","17,883"
Debbie Lesko,R,59.6,Arizona,8,True,True,"1,605,245","987,453"
Michael Muscato,D,40.4,Arizona,8,False,False,"357,906","347,734"
Greg Stanton,D,61.6,Arizona,9,True,True,"2,001,619","1,001,350"
Dave Giles,R,38.4,Arizona,9,False,False,"130,480","129,935"
Tom Cotton,R,66.5,Arkansas,2020,True,True,"12,801,063","6,658,318"
Ricky Dale,L,33.5,Arkansas,2020,False,False,"79,564","64,037"
Daniel Whitfield,I,0.0,Arkansas,2020,False,False,"68,536","48,227"
Rick Crawford,R,100.0,Arkansas,1,True,True,"966,801","1,095,518"
French Hill,R,55.4,Arkansas,2,True,True,"3,384,490","3,020,491"
Joyce Elliott,D,44.6,Arkansas,2,False,False,"3,482,463","3,478,733"
Steve Womack,R,64.3,Arkansas,3,True,True,"1,127,158","923,120"
Celeste Williams,D,31.8,Arkansas,3,False,False,"355,294","355,294"
Bruce Westerman,R,69.7,Arkansas,4,True,True,"1,407,770","1,102,573"
William Hanson,D,27.5,Arkansas,4,False,False,"109,767","111,683"
Doug LaMalfa,R,56.9,California,1,True,True,"1,219,556","1,155,945"
