,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
0,John Carter,R,53.4,Texas,31,True,True,"2,160,187","2,214,487"
1,Donna Imam,D,44.3,Texas,31,False,False,"1,035,222","1,035,272"
2,Colin Allred,D,52.0,Texas,32,True,True,"5,667,725","5,611,747"
3,Genevieve Collins,R,45.9,Texas,32,False,False,"5,923,081","5,915,256"
4,Jason Sigmon,I,0.7,Texas,32,False,False,"11,791","11,651"
5,Marc Veasey,D,66.8,Texas,33,True,True,"1,621,929","1,613,446"
6,Fabian Cordova,R,25.2,Texas,33,False,False,"36,692","25,585"
7,Filemon Vela,D,55.4,Texas,34,True,True,"983,026","1,024,180"
8,Rey Gonzalez,R,41.8,Texas,34,False,False,"37,118","37,446"
9,Lloyd Doggett,D,65.4,Texas,35,True,True,"1,336,576","424,804"
10,Jennifer Sharon,R,30.0,Texas,35,False,False,"19,011","14,442"
11,Jason Mata,I,1.9,Texas,35,False,False,"2,632","2,632"
12,Brian Babin,R,73.6,Texas,36,True,True,"1,345,351","1,297,185"
13,Brandon Rashad,D,24.3,Texas,36,False,False,"21,714","12,278"
14,Blake Moore,R,69.6,Utah,01,False,True,"844,377","816,015"
15,Darren Parry,D,30.5,Utah,01,False,False,"41,218","40,904"
16,Chris Stewart,R,59.0,Utah,02,True,True,"835,139","812,462"
17,John Kael,D,36.6,Utah,02,False,False,"344,774","306,872"
18,Joe Jarvis,3,0,Utah,02,False,False,"22,989","22,989"
19,John Curtis,R,68.8,Utah,03,True,True,"874,311","687,265"
20,Devin Thorpe,D,26.8,Utah,03,False,False,"191,412","190,200"
21,Thomas G.,3,2.0,Utah,03,False,False,"5,516","5,516"
22,Russel Fugal,I,0,Utah,03,False,False,393,346
23,Ben McAdams,D,46.7,Utah,04,True,False,"5,613,542","5,555,591"
24,Burgess Owens,R,47.7,Utah,04,False,True,"5,129,475","5,049,146"
25,Jonia Broderick,3,2.1,Utah,04,False,False,"21,394","21,265"
26,Peter Welch,D,64.4,Vermont,01,True,True,"847,320","865,252"
27,Mark Warner,D,56.0,Virginia,2020,True,True,"17,233,036","16,976,634"
28,Daniel Gade,R,43.9,Virginia,2020,False,False,"4,888,110","4,880,329"
29,Rob Wittman,R,58.5,Virginia,01,True,True,"1,969,785","2,140,375"
30,Qasim Rashid,D,41.7,Virginia,01,False,False,"1,559,108","1,559,108"
31,Elaine Luria,D,51.6,Virginia,02,True,True,"6,522,276","6,387,474"
32,Scott Taylor,R,45.8,Virginia,02,False,False,"2,452,292","2,446,410"
33,Bobby Scott,D,68.4,Virginia,03,True,True,"873,126","832,419"
34,John Collick,R,31.4,Virginia,03,False,False,"167,146","165,080"
35,Donald McEachin,D,61.6,Virginia,04,True,True,"961,412","963,788"
36,Leon Benjamin,R,38.2,Virginia,04,False,False,"545,354","523,429"
37,Cameron Webb,D,47.3,Virginia,05,False,False,"5,755,917","5,750,924"
38,Bob Good,R,52.4,Virginia,05,False,True,"1,373,867","1,323,530"
39,Ben Cline,R,64.6,Virginia,06,True,True,"892,955","672,928"
40,Nicholas Betts,D,35.3,Virginia,06,False,False,"56,190","54,205"
41,Abigail Spanberger,D,50.8,Virginia,07,True,True,"8,387,680","7,852,213"
42,Nick Freitas,R,49.0,Virginia,07,False,False,"3,629,431","3,600,108"
43,Don Beyer,D,75.8,Virginia,08,True,True,"1,729,482","2,071,906"
44,Jeff Jordan,R,24.0,Virginia,08,False,False,"96,035","96,035"
45,Heerak Christian,I,0,Virginia,08,False,False,"2,036","1,921"
46,Morgan Griffith,R,94.0,Virginia,09,True,True,"873,612","463,916"
47,Jennifer Wexton,D,56.5,Virginia,10,True,True,"3,855,331","1,772,250"
