,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
0,Doug Jones,D,39.6,Alabama,2020,True,False,"30,640,635","32,297,767"
1,Tommy Tuberville,R,60.2,Alabama,2020,False,True,"8,537,218","8,363,739"
2,Michael Parrish,I,0,Alabama,2020,False,False,"5,116","2,639"
3,Jerry Carl,R,64.9,Alabama,01,False,True,"1,971,321","1,859,349"
4,James Averhart,D,35.0,Alabama,01,False,False,"80,095","78,973"
5,Barry Moore,R,65.3,Alabama,02,False,True,"650,807","669,368"
6,Phyllis Harvey-Hall,D,34.6,Alabama,02,False,False,"56,050","55,988"
7,Mike D,R,67.5,Alabama,03,True,True,"1,193,111","1,218,564"
8,Adia Winfrey,D,32.4,Alabama,03,False,False,"50,273","40,971"
9,Robert B,R,82.5,Alabama,04,True,True,"1,255,076","1,323,812"
10,Mo Brooks,R,95.8,Alabama,05,True,True,"655,365","210,045"
11,Gary Palmer,R,97.1,Alabama,06,True,True,"907,219","909,082"
12,Terri Sewell,D,97.2,Alabama,07,True,True,"2,168,165","1,495,957"
13,Dan Sullivan,R,53.9,Alaska,2020,True,True,"10,472,845","9,999,482"
14,Al Gross,I,41.2,Alaska,2020,False,False,"19,393,431","19,366,600"
15,Don Young,R,54.4,Alaska,01,True,True,"1,922,901","1,790,448"
16,Alyse Galvin,I,45.3,Alaska,01,False,False,"5,178,452","5,088,103"
17,Martha McSally,R,48.8,Arizona,2020,True,False,"71,385,147","72,193,637"
18,Mark Kelly,D,51.2,Arizona,2020,False,True,"99,846,963","98,444,440"
19,Tom O'Halleran,D,51.6,Arizona,01,True,True,"3,381,353","3,324,138"
20,Tiffany Shedd,R,48.4,Arizona,01,False,False,"1,675,618","1,615,704"
21,Ann Kirkpatrick,D,55.1,Arizona,02,True,True,"1,849,862","1,384,765"
22,Brandon Martin,R,44.9,Arizona,02,False,False,"374,821","381,067"
23,Raul M,D,64.6,Arizona,03,True,True,"843,560","655,507"
24,Daniel Wood,R,35.4,Arizona,03,False,False,"41,422","41,962"
25,Paul Gosar,R,69.8,Arizona,04,True,True,"622,151","729,892"
26,Delina DiSanto,D,30.2,Arizona,04,False,False,"77,168","79,758"
27,Andy Biggs,R,58.9,Arizona,05,True,True,"1,602,181","1,236,380"
28,Joan Greene,D,41.1,Arizona,05,False,False,"356,069","209,789"
29,David Schweikert,R,52.2,Arizona,06,True,True,"2,265,329","2,249,979"
